held_out_subject,accuracy,precision,recall,rec_lo,rec_hi,f1,fpr,roc_auc,tp,tn,fp,fn,n_train,n_test,n_test_pos,n_iter
sub-001,0.9664,0.0060,0.0351,0.0137,0.0868,0.0102,0.0290,0.5759,4,22280,665,110,20214,23059,114,52
sub-032,0.6152,0.0212,0.1466,0.0936,0.2222,0.0370,0.3599,0.2825,17,1396,785,99,61931,2297,116,40
sub-085,0.8962,0.0169,0.0690,0.0271,0.1643,0.0272,0.0860,0.7196,4,2466,232,54,60394,2756,58,36
sub-096,0.9691,0.0541,0.0541,0.0150,0.1770,0.0541,0.0157,0.9351,2,2193,35,35,61620,2265,37,29
sub-124,0.7369,0.1367,0.1478,0.1143,0.1892,0.1421,0.1613,0.4904,51,1674,322,294,62272,2341,345,42
sub-125,0.8152,0.0000,0.0000,0.0000,0.0169,0.0000,0.0000,0.5000,0,984,0,223,64208,1207,223,39
