path,bytes,read_status,row_count,column_count,columns,events_ready,events_reason,labels_ready,labels_reason,splits_ready,splits_reason,candidate_roles
data/processed/msg/gate_c_inputs_sph60_sop1440/events.csv,104334,ok,768,9,"patient_id,recording_id,seizure_start,seizure_end,source_dataset,source_file,seizure_end_imputed,imputed_duration_seconds,recording_match_status",True,ok,False,"labels missing required columns: ['forecast_label', 'is_excluded', 'split', 'window_end', 'window_start']",False,splits missing required columns: ['split'],events
data/processed/msg/gate_c_inputs_sph60_sop1440/labels.csv,8363488,ok,49577,17,"patient_id,recording_id,window_start,window_end,recording_start,recording_end,center_id,source_dataset,time_to_next_seizure_seconds,time_since_last_seizure_seconds,is_ictal,is_postictal,is_right_censored,forecast_label,is_excluded,right_censoring_applied,split",False,"events missing required columns: ['seizure_end', 'seizure_start']",True,ok,True,ok,"labels,splits"
data/processed/msg/gate_c_inputs_sph60_sop1440/splits.csv,3647613,ok,49577,5,"patient_id,recording_id,window_start,window_end,split",False,"events missing required columns: ['seizure_end', 'seizure_start']",False,"labels missing required columns: ['forecast_label', 'is_excluded']",True,ok,splits
