run_id,bundle_id,dataset_id,gate,ceiling,ceiling_rank,final_claim,is_active_ceiling
external_requested_e4_demo,external_requested_e4_demo:external_requested_e4_demo,pilot_t1_eeg,threshold_policy,E4,5,E3,False
external_requested_e4_demo,external_requested_e4_demo:external_requested_e4_demo,pilot_t1_eeg,failure_status,E4,5,E3,False
external_requested_e4_demo,external_requested_e4_demo:external_requested_e4_demo,pilot_t1_eeg,hardware_evidence,E4,5,E3,False
external_requested_e4_demo,external_requested_e4_demo:external_requested_e4_demo,pilot_t1_eeg,track_consistency,E4,5,E3,False
external_validation_claim_demo,external_validation_demo:external_validation_claim_demo,pilot_t1_eeg,dataset_tier,E3,4,E3,True
external_validation_claim_demo,external_validation_demo:external_validation_claim_demo,pilot_t1_eeg,split_policy,E3,4,E3,True
external_validation_claim_demo,external_validation_demo:external_validation_claim_demo,pilot_t1_eeg,label_audit,E4,5,E3,False
external_validation_claim_demo,external_validation_demo:external_validation_claim_demo,pilot_t1_eeg,leakage_audit,E4,5,E3,False
external_validation_claim_demo,external_validation_demo:external_validation_claim_demo,pilot_t1_eeg,threshold_policy,E4,5,E3,False
external_validation_claim_demo,external_validation_demo:external_validation_claim_demo,pilot_t1_eeg,failure_status,E4,5,E3,False
external_validation_claim_demo,external_validation_demo:external_validation_claim_demo,pilot_t1_eeg,hardware_evidence,E4,5,E3,False
external_validation_claim_demo,external_validation_demo:external_validation_claim_demo,pilot_t1_eeg,track_consistency,E4,5,E3,False
leakage_high_metric_demo,failure_leakage:leakage_high_metric_demo,pilot_t1_eeg,dataset_tier,E2-PI,3,E1,False
leakage_high_metric_demo,failure_leakage:leakage_high_metric_demo,pilot_t1_eeg,split_policy,E2-PI,3,E1,False
leakage_high_metric_demo,failure_leakage:leakage_high_metric_demo,pilot_t1_eeg,label_audit,E4,5,E1,False
leakage_high_metric_demo,failure_leakage:leakage_high_metric_demo,pilot_t1_eeg,leakage_audit,E1,1,E1,True
leakage_high_metric_demo,failure_leakage:leakage_high_metric_demo,pilot_t1_eeg,threshold_policy,E1,1,E1,True
leakage_high_metric_demo,failure_leakage:leakage_high_metric_demo,pilot_t1_eeg,failure_status,E1,1,E1,True
leakage_high_metric_demo,failure_leakage:leakage_high_metric_demo,pilot_t1_eeg,hardware_evidence,E4,5,E1,False
leakage_high_metric_demo,failure_leakage:leakage_high_metric_demo,pilot_t1_eeg,track_consistency,E4,5,E1,False
far_explosion_high_sensitivity_demo,far_explosion_failure_d:far_explosion_high_sensitivity_demo,pilot_t1_eeg,dataset_tier,E2-PI,3,E1,False
far_explosion_high_sensitivity_demo,far_explosion_failure_d:far_explosion_high_sensitivity_demo,pilot_t1_eeg,split_policy,E2-PI,3,E1,False
far_explosion_high_sensitivity_demo,far_explosion_failure_d:far_explosion_high_sensitivity_demo,pilot_t1_eeg,label_audit,E4,5,E1,False
far_explosion_high_sensitivity_demo,far_explosion_failure_d:far_explosion_high_sensitivity_demo,pilot_t1_eeg,leakage_audit,E4,5,E1,False
far_explosion_high_sensitivity_demo,far_explosion_failure_d:far_explosion_high_sensitivity_demo,pilot_t1_eeg,threshold_policy,E4,5,E1,False
far_explosion_high_sensitivity_demo,far_explosion_failure_d:far_explosion_high_sensitivity_demo,pilot_t1_eeg,failure_status,E1,1,E1,True
far_explosion_high_sensitivity_demo,far_explosion_failure_d:far_explosion_high_sensitivity_demo,pilot_t1_eeg,hardware_evidence,E4,5,E1,False
far_explosion_high_sensitivity_demo,far_explosion_failure_d:far_explosion_high_sensitivity_demo,pilot_t1_eeg,track_consistency,E4,5,E1,False
msg_cycle_preserving_random_gate_c_frozen,msg_gate_c_frozen_f:msg_cycle_preserving_random_gate_c_frozen,msg_gate_c_frozen_f,dataset_tier,E2-PI,3,E2-PD,False
msg_cycle_preserving_random_gate_c_frozen,msg_gate_c_frozen_f:msg_cycle_preserving_random_gate_c_frozen,msg_gate_c_frozen_f,split_policy,E2-PD,2,E2-PD,True
msg_cycle_preserving_random_gate_c_frozen,msg_gate_c_frozen_f:msg_cycle_preserving_random_gate_c_frozen,msg_gate_c_frozen_f,label_audit,E2-PI,3,E2-PD,False
msg_cycle_preserving_random_gate_c_frozen,msg_gate_c_frozen_f:msg_cycle_preserving_random_gate_c_frozen,msg_gate_c_frozen_f,leakage_audit,E4,5,E2-PD,False
msg_cycle_preserving_random_gate_c_frozen,msg_gate_c_frozen_f:msg_cycle_preserving_random_gate_c_frozen,msg_gate_c_frozen_f,threshold_policy,E4,5,E2-PD,False
msg_cycle_preserving_random_gate_c_frozen,msg_gate_c_frozen_f:msg_cycle_preserving_random_gate_c_frozen,msg_gate_c_frozen_f,failure_status,E4,5,E2-PD,False
msg_cycle_preserving_random_gate_c_frozen,msg_gate_c_frozen_f:msg_cycle_preserving_random_gate_c_frozen,msg_gate_c_frozen_f,hardware_evidence,E4,5,E2-PD,False
msg_cycle_preserving_random_gate_c_frozen,msg_gate_c_frozen_f:msg_cycle_preserving_random_gate_c_frozen,msg_gate_c_frozen_f,track_consistency,E4,5,E2-PD,False
msg_cycle_preserving_random_preliminary,msg_preliminary_f:msg_cycle_preserving_random_preliminary,msg_preliminary_f,dataset_tier,E1,1,E1,True
msg_cycle_preserving_random_preliminary,msg_preliminary_f:msg_cycle_preserving_random_preliminary,msg_preliminary_f,split_policy,E2-PD,2,E1,False
msg_cycle_preserving_random_preliminary,msg_preliminary_f:msg_cycle_preserving_random_preliminary,msg_preliminary_f,label_audit,E1,1,E1,True
msg_cycle_preserving_random_preliminary,msg_preliminary_f:msg_cycle_preserving_random_preliminary,msg_preliminary_f,leakage_audit,E4,5,E1,False
msg_cycle_preserving_random_preliminary,msg_preliminary_f:msg_cycle_preserving_random_preliminary,msg_preliminary_f,threshold_policy,E4,5,E1,False
msg_cycle_preserving_random_preliminary,msg_preliminary_f:msg_cycle_preserving_random_preliminary,msg_preliminary_f,failure_status,E1,1,E1,True
msg_cycle_preserving_random_preliminary,msg_preliminary_f:msg_cycle_preserving_random_preliminary,msg_preliminary_f,hardware_evidence,E4,5,E1,False
msg_cycle_preserving_random_preliminary,msg_preliminary_f:msg_cycle_preserving_random_preliminary,msg_preliminary_f,track_consistency,E4,5,E1,False
patient_dependent_claim_demo,patient_dependent_demo:patient_dependent_claim_demo,pilot_t1_eeg,dataset_tier,E2-PI,3,E2-PD,False
patient_dependent_claim_demo,patient_dependent_demo:patient_dependent_claim_demo,pilot_t1_eeg,split_policy,E2-PD,2,E2-PD,True
patient_dependent_claim_demo,patient_dependent_demo:patient_dependent_claim_demo,pilot_t1_eeg,label_audit,E4,5,E2-PD,False
patient_dependent_claim_demo,patient_dependent_demo:patient_dependent_claim_demo,pilot_t1_eeg,leakage_audit,E4,5,E2-PD,False
patient_dependent_claim_demo,patient_dependent_demo:patient_dependent_claim_demo,pilot_t1_eeg,threshold_policy,E4,5,E2-PD,False
patient_dependent_claim_demo,patient_dependent_demo:patient_dependent_claim_demo,pilot_t1_eeg,failure_status,E4,5,E2-PD,False
patient_dependent_claim_demo,patient_dependent_demo:patient_dependent_claim_demo,pilot_t1_eeg,hardware_evidence,E4,5,E2-PD,False
patient_dependent_claim_demo,patient_dependent_demo:patient_dependent_claim_demo,pilot_t1_eeg,track_consistency,E4,5,E2-PD,False
pilot_t1_eeg_edge_cnn_demo,pilot_t1_eeg:pilot_t1_eeg_edge_cnn_demo,pilot_t1_eeg,dataset_tier,E2-PI,3,E2-PI,True
pilot_t1_eeg_edge_cnn_demo,pilot_t1_eeg:pilot_t1_eeg_edge_cnn_demo,pilot_t1_eeg,split_policy,E2-PI,3,E2-PI,True
pilot_t1_eeg_edge_cnn_demo,pilot_t1_eeg:pilot_t1_eeg_edge_cnn_demo,pilot_t1_eeg,label_audit,E4,5,E2-PI,False
pilot_t1_eeg_edge_cnn_demo,pilot_t1_eeg:pilot_t1_eeg_edge_cnn_demo,pilot_t1_eeg,leakage_audit,E4,5,E2-PI,False
pilot_t1_eeg_edge_cnn_demo,pilot_t1_eeg:pilot_t1_eeg_edge_cnn_demo,pilot_t1_eeg,threshold_policy,E4,5,E2-PI,False
pilot_t1_eeg_edge_cnn_demo,pilot_t1_eeg:pilot_t1_eeg_edge_cnn_demo,pilot_t1_eeg,failure_status,E4,5,E2-PI,False
pilot_t1_eeg_edge_cnn_demo,pilot_t1_eeg:pilot_t1_eeg_edge_cnn_demo,pilot_t1_eeg,hardware_evidence,E4,5,E2-PI,False
pilot_t1_eeg_edge_cnn_demo,pilot_t1_eeg:pilot_t1_eeg_edge_cnn_demo,pilot_t1_eeg,track_consistency,E4,5,E2-PI,False
prospective_e4_claim_demo,prospective_e4_demo:prospective_e4_claim_demo,pilot_t1_eeg,dataset_tier,E4,5,E4,True
prospective_e4_claim_demo,prospective_e4_demo:prospective_e4_claim_demo,pilot_t1_eeg,split_policy,E4,5,E4,True
prospective_e4_claim_demo,prospective_e4_demo:prospective_e4_claim_demo,pilot_t1_eeg,label_audit,E4,5,E4,True
prospective_e4_claim_demo,prospective_e4_demo:prospective_e4_claim_demo,pilot_t1_eeg,leakage_audit,E4,5,E4,True
prospective_e4_claim_demo,prospective_e4_demo:prospective_e4_claim_demo,pilot_t1_eeg,threshold_policy,E4,5,E4,True
prospective_e4_claim_demo,prospective_e4_demo:prospective_e4_claim_demo,pilot_t1_eeg,failure_status,E4,5,E4,True
prospective_e4_claim_demo,prospective_e4_demo:prospective_e4_claim_demo,pilot_t1_eeg,hardware_evidence,E4,5,E4,True
prospective_e4_claim_demo,prospective_e4_demo:prospective_e4_claim_demo,pilot_t1_eeg,track_consistency,E4,5,E4,True
seizeit2_sub125_random_preliminary,seizeit2_preliminary_f:seizeit2_sub125_random_preliminary,seizeit2_preliminary_f,dataset_tier,E1,1,E1,True
seizeit2_sub125_random_preliminary,seizeit2_preliminary_f:seizeit2_sub125_random_preliminary,seizeit2_preliminary_f,split_policy,E1,1,E1,True
