sph_minutes,sop_minutes,horizon_status,issue_flags,recommended_action,windows_total,valid_windows,valid_window_fraction,positive_windows_total,valid_positive_windows,right_censored_unknown_windows,right_censored_unknown_fraction,events_total,events_coverable_by_valid_windows,event_coverable_fraction,events_recording_matched,events_recording_unmatched,claim_status
5.0,1440.0,not_main_table_ready,low_valid_window_fraction;high_right_censored_unknown_fraction;unmatched_events_present,demote_horizon_or_mark_as_feasibility_negative;document_right_censoring_before_split_freeze;resolve_unmatched_events_or_restrict_denominator_explicitly,49577,8689,0.175,4058,3563,40365,0.814188030740061,768,456,0.594,510,258,msg_gap_triage_pre_gate_c_not_citable
60.0,1440.0,not_main_table_ready,low_valid_window_fraction;high_right_censored_unknown_fraction;unmatched_events_present,demote_horizon_or_mark_as_feasibility_negative;document_right_censoring_before_split_freeze;resolve_unmatched_events_or_restrict_denominator_explicitly,49577,7920,0.16,3781,3326,41178,0.83058676402364,768,436,0.568,510,258,msg_gap_triage_pre_gate_c_not_citable
60.0,360.0,not_main_table_ready,high_right_censored_unknown_fraction;unmatched_events_present,document_right_censoring_before_split_freeze;resolve_unmatched_events_or_restrict_denominator_explicitly,49577,34468,0.695,1960,1646,13774,0.27783044556951814,768,426,0.555,510,258,msg_gap_triage_pre_gate_c_not_citable
5.0,30.0,not_main_table_ready,low_event_coverable_fraction;unmatched_events_present,do_not_anchor_main_table_until_event_coverage_improves;resolve_unmatched_events_or_restrict_denominator_explicitly,49577,46598,0.94,213,166,1152,0.023236581479315004,768,177,0.23,510,258,msg_gap_triage_pre_gate_c_not_citable
60.0,30.0,not_main_table_ready,low_event_coverable_fraction;unmatched_events_present,do_not_anchor_main_table_until_event_coverage_improves;resolve_unmatched_events_or_restrict_denominator_explicitly,49577,44781,0.903,207,167,3058,0.061681828267140006,768,179,0.233,510,258,msg_gap_triage_pre_gate_c_not_citable
5.0,360.0,source_review_required,unmatched_events_present,resolve_unmatched_events_or_restrict_denominator_explicitly,49577,36215,0.73,2054,1722,11950,0.2410391915606027,768,444,0.578,510,258,msg_gap_triage_pre_gate_c_not_citable
